"V1" "V2" "V3" "V4"
"246" 5.4 2.8 6.1 1.8
"247" 6.3 2.6 4.8 2.1
"248" 5.9 3.3 5.6 2
"249" 5 2.6 5.4 2.3
"250" 7.3 2.3 5.8 1.8
"251" 6.6 2.4 6.8 2.2
"252" 5.1 3.6 6 2.3
"253" 6.2 2.8 6 2.3
"254" 5.1 3.3 6.4 2.5
"255" 5.4 2.2 6.8 2.1
"256" 6.5 2.8 6.5 1.7
"257" 5.3 3.3 4.5 1.5
"258" 4.9 2.9 6.1 1.5
"259" 5.9 2.3 5.1 1.8
"260" 6.1 3.4 6 1.9
"261" 7.4 2.8 5.7 1.9
"262" 7.4 2.6 5.3 1.6
"263" 5.3 3.4 4.8 1.9
"264" 6 3.1 6.6 1.9
"265" 6 3.3 5.7 1.7
"266" 7.4 3 6.4 2
"267" 6 3.2 4.7 2
"268" 7.3 2.9 5.9 1.9
"269" 5.8 3.8 5.2 2.5
"270" 6 3.3 5.1 2.5
"271" 5.8 3.6 6.4 1.5
"272" 7.8 3.2 6.7 1.9
"273" 7.3 3.7 5.6 2.5
"274" 6.2 3.2 4.9 2.1
"275" 7.1 2.7 5.7 2.3
"276" 5.6 3.2 4.8 1.5
"277" 6.5 3.1 4.9 2.3
"278" 5.9 3.1 6.6 1.6
"279" 5.5 3.4 5.6 2.4
"280" 7.8 3.4 4.6 2.1
"281" 6.8 2.4 4.5 1.6
"282" 5.8 3 6.6 1.9
"283" 7.6 2.5 5.5 2.2
"284" 6.8 2.9 5.8 2.1
"285" 5.3 2.6 5.3 1.9
"286" 6 3.4 4.8 2.4
"287" 7.8 3.4 5.3 1.4
"288" 7.4 2.5 6.8 1.5
"289" 6.2 3 5.6 1.7
"290" 7.4 3 6.1 2.3
"291" 5.1 3.5 4.8 1.9
"292" 6.3 2.3 6 2.2
"293" 6.7 3.1 6.2 1.8
"294" 5.7 3.5 4.9 2.2
"295" 6.4 3.6 6.8 2.1
"296" 6 2.6 6.7 1.8
"297" 5.8 3 4.8 2.4
"298" 6.7 2.5 5.9 1.7
"299" 6.8 3.2 5.1 1.9
"300" 6.6 3.1 6.4 2
"301" 6.5 3.5 6.4 2.3
"302" 4.9 3.7 6.2 1.8
"303" 6.5 2.6 4.7 1.7
"304" 6.9 3.3 6.9 1.9
"305" 6.5 2.9 5.4 1.5
"306" 7.2 2.5 4.9 2.4
"307" 7.8 3.5 4.8 2.2
"308" 6.7 2.9 5.1 2.1
"309" 6.7 2.8 5.8 1.6
"310" 5.9 3.2 4.7 2.3
"311" 7.6 2.3 6.3 1.8
"312" 5.7 2.5 5.8 2.2
"313" 7.5 3 6.3 2.3
"314" 6 3.4 6.5 1.7
"315" 7.8 3.4 5.4 1.6
"316" 5.7 3 6.7 2.1
"317" 6.4 2.4 5.9 1.6
"318" 6.2 3.7 5.5 1.9
"319" 6.3 3.6 6.3 1.6
"320" 6.4 3.1 6.6 2.2
"321" 7.3 2.3 4.7 1.9
"322" 5.3 3.6 6.8 1.6
"323" 5.2 3.3 4.5 2
"324" 6.9 2.3 6.6 2.5
"325" 7.3 2.3 4.7 2.5
"326" 6.5 3.2 5.5 2.4
"327" 6.9 3.6 5.9 1.6
"328" 7.4 2.3 5.8 1.8
"329" 6.5 2.8 6.3 1.5
"330" 6.9 2.9 4.7 1.5
"331" 5.9 3.4 4.7 1.6
"332" 6.4 2.7 6.5 2.5
"333" 6.7 2.8 5.2 1.5
"334" 6.2 3.6 5.9 2.2
"335" 7.9 2.3 6.9 2.4
"336" 6.3 3.4 5.2 1.7
"337" 6.2 3.2 6.4 2.4
"338" 7 2.2 4.5 1.4
"339" 6.5 3.7 5.1 1.5
"340" 5.7 2.8 6 1.5
"341" 7.2 2.8 5.9 2.5
"342" 5.2 2.7 5.3 1.9
"343" 5.7 3.8 5.6 1.8
"344" 6.4 3.8 6.4 1.4
"345" 5.5 3.7 5.6 2.4
"346" 6 3.4 6.5 2.3
"347" 5.9 3.3 6.4 1.4
"348" 6.3 2.2 4.6 2.1
"349" 6.6 3.1 6.6 2.1
"350" 5.9 2.5 5.8 2
"351" 5.1 3.5 5.9 1.7
"352" 6.1 2.2 6.4 1.7
"353" 5 3 5.9 1.7
"354" 6 3.4 6.6 1.6
"355" 5 2.5 5.9 1.5
"356" 7 2.6 5.8 1.8
"357" 6.9 2.8 5.7 1.9
"358" 6 2.7 4.8 1.5
"359" 4.9 3.2 6.7 2.5
"360" 6 2.9 5 2.4
"361" 7.1 3.5 5.5 1.4
"362" 6 2.6 5.7 2
"363" 7.6 3.4 4.9 1.9
"364" 6.7 3.6 5.4 2.4
"365" 5.8 3.3 6.1 1.5
"366" 7.1 3 5.4 1.9
"367" 6.2 3.3 6.2 2.3
"368" 7.1 3.1 6.2 1.7
"369" 6.2 2.8 6.2 1.7
"370" 6.9 3.3 6.9 1.7
"371" 7.6 3.5 6.3 2.1
"372" 7.8 3.6 5.9 1.8
"373" 5.3 2.8 5.5 1.9
"374" 4.9 3.5 5.6 1.8
"375" 6.7 2.4 6 2.3
"376" 5.5 3.5 6 2.1
"377" 6.5 3.4 6.8 1.6
"378" 6.9 2.9 5.3 2
"379" 5.6 3.7 4.8 1.9
"380" 7.3 3.2 6.3 2.4
"381" 6.6 3.2 6.4 2
"382" 5.4 3.7 6.3 2
"383" 6.4 3.5 5.9 1.5
"384" 7.8 2.8 6.9 2.1
"385" 5.5 3.5 6.5 1.8
"386" 6.6 2.4 5 2.3
"387" 5.9 2.6 6.1 1.6
"388" 7 3 4.6 1.4
"389" 7.4 2.3 6.1 2.4
"390" 7.7 2.4 6.6 1.6
"391" 7.7 2.6 6.2 1.6
"392" 7.6 2.8 6.1 1.9
"393" 7.1 2.6 5.3 2.1
"394" 7.7 3 5.6 1.6
"395" 5.8 3.5 6.6 1.9
"396" 6.1 3 5.6 2.3
"397" 5 2.9 5.5 2.5
"398" 6 2.6 5.7 2.5
"399" 6.7 3.2 6.7 1.4
"400" 5.9 3.7 5.8 1.5
"401" 6.9 3.3 5.5 2.1
"402" 7.4 3.4 4.7 1.7
"403" 7.1 3.5 6.7 2.4
"404" 5 3.8 6.6 1.8
"405" 5 3.1 5.8 2.4
"406" 7.5 3 6.9 2.1
"407" 7.5 3.8 6.8 2.1
"408" 6.3 3.7 5.1 1.8
"409" 6.9 3.2 5.3 2.5
"410" 5.3 3.6 5 1.9
"411" 6.9 3 6.2 2.2
"412" 7.6 2.6 5.5 1.5
"413" 5.9 2.2 6.8 1.7
"414" 6 3.7 6.7 1.7
"415" 7.3 3 5.7 1.7
"416" 7.7 3.1 6.4 2.4
"417" 5.5 3.1 5.9 1.9
"418" 5.4 2.4 5 2
"419" 6.5 2.6 5.1 1.9
"420" 5.6 3.8 6.8 2.1
"421" 6.5 2.9 6.2 1.7
"422" 5.4 3.6 6.9 1.7
"423" 5.1 3.6 5.3 2.4
"424" 6.5 2.6 6.4 2
"425" 5.8 3.7 5.7 2
"426" 7.6 2.7 5.5 1.9
"427" 7.6 2.4 4.9 2.2
"428" 6.1 3.6 5.8 1.8
"429" 5.7 3 4.6 1.5
"430" 5.3 3.6 5.7 2.3
"431" 7.5 2.6 6.4 2.3
"432" 5.4 3.6 5.5 1.5
"433" 7.5 2.5 6.7 1.6
"434" 7.1 3.3 5 2
"435" 5.2 2.9 4.9 2.3
"436" 7.4 2.4 5.6 1.7
"437" 5.3 3.6 4.7 1.8
"438" 5.2 3.2 5.7 2.4
"439" 5.2 3.7 5.9 1.7
"440" 7.4 3.3 6.3 2
"441" 5.6 3 4.9 2.4
"442" 6 2.4 6.8 2.4
"443" 7.8 2.4 4.9 2.3
"444" 6.8 3.8 6 2.4
"445" 6.8 3.3 6.9 1.7
"446" 6.9 3.6 4.8 1.4
"447" 7.1 3.1 6 1.5
"448" 7 3.8 6.1 2.1
"449" 7.8 3.4 6.7 1.5
"450" 5.9 2.8 6.6 2
"451" 5.6 3.7 5.6 1.7
"452" 6.6 2.8 4.7 1.7
"453" 5.6 3 4.9 2.2
"454" 7.8 3.4 6.8 2.2
"455" 5 2.4 5.5 2.2
"456" 6 3 4.9 1.8
"457" 7.6 2.7 6.7 2.5
"458" 6.8 3.1 4.6 2.2
"459" 5.2 3.3 6 2.4
"460" 6.6 2.6 6.6 2.1
"461" 5.2 2.2 4.6 2.5
"462" 5.7 3.7 5.8 1.5
"463" 7.2 2.7 6.5 1.6
"464" 7 2.2 5.8 1.7
"465" 6 3.4 6.6 2.1
"466" 7.5 2.6 6.3 2.3
"467" 6.8 3.7 6 2.2
"468" 5.1 2.2 4.5 1.5
"469" 5.1 3.4 4.7 1.5
"470" 6.1 3.2 4.9 1.5
"471" 6.3 3 5 1.7
"472" 4.9 3.6 4.5 2.5
"473" 7.3 2.6 5 2
"474" 6.4 3.5 5.2 2.3
"475" 6.6 3.1 4.6 2.4
"476" 5.7 3.4 5.3 2.2
"477" 6 2.9 4.5 1.7
"478" 4.9 2.8 4.9 1.9
"479" 7.8 3 5.5 2.3
"480" 7.8 3.1 5.2 1.7
"481" 5 2.7 4.7 2.2
"482" 5.8 3.1 5.8 2.2
"483" 5.2 3.6 6.7 2
"484" 7.6 2.7 4.9 2.4
"485" 5.9 3.6 4.8 2
"486" 5 2.8 4.6 2.3
"487" 6.1 3.3 6.2 2.4
"488" 7.9 2.8 6.6 1.7
"489" 6.8 2.6 6.7 1.7
"490" 7.5 2.7 4.8 1.4
"491" 5.8 2.9 5 1.4
"492" 5.4 3 4.9 2
"493" 5.2 2.7 4.9 2
"494" 5.3 3.2 5.4 2.2
"495" 5.7 3.4 6.8 2.1
"496" 7.5 3.1 6.7 2.3
"497" 5 2.8 5.6 2.2
"498" 6.3 3.1 5.7 2.1
"499" 7.3 3.6 5.1 1.4
"500" 7.7 2.3 5.1 2.4
"501" 6.8 2.3 4.5 1.7
"502" 6.8 2.3 5.2 1.9
"503" 6.9 3.6 6.8 2
"504" 7.3 2.8 5.8 2.5
"505" 5.2 3.5 5.2 2.5
"506" 5.2 3.7 5.9 1.6
"507" 6.1 3.5 6.2 2
"508" 6.7 3.3 5.9 2.2
"509" 6.9 3.6 6.3 1.5
"510" 7.2 3.7 5.9 2.4
"511" 6.2 2.4 5.8 1.7
"512" 6.7 3.4 6.6 1.7
"513" 7.4 2.7 4.5 1.6
"514" 7.5 3.7 5.3 1.7
"515" 6.6 3.8 5 1.6
"516" 6.8 2.5 5.8 2.3
"517" 5.3 2.9 5.8 1.9
"518" 7 2.6 4.8 2.3
"519" 7.8 2.6 5.3 1.8
"520" 5.5 2.9 5.5 1.7
"521" 7.5 3 5.8 1.9
"522" 7.2 3 5.9 2.4
"523" 6.5 3.4 6.7 2.1
"524" 4.9 2.4 6.3 2.2
"525" 6.5 2.8 6.6 1.7
"526" 6.1 3.2 5.5 1.7
"527" 6.8 2.7 5.5 1.6
"528" 6.3 2.8 5.2 1.9
"529" 6.9 3.5 5.7 1.5
"530" 5.9 2.3 5.7 1.9
"531" 6.9 3.3 4.6 1.8
"532" 7.2 3.1 4.8 1.7
"533" 6.7 3.1 4.8 1.9
"534" 6.3 2.5 6.5 2.3
"535" 6.7 3.7 5.1 2.3
"536" 6.7 3 4.6 1.9
"537" 5.5 2.7 5 2.4
"538" 5 2.4 6.8 2.3
"539" 7 2.8 6.9 2.3
"540" 7.1 3.6 5.9 1.5
"541" 7.6 2.5 6.2 2.4
"542" 5 2.4 4.9 2.2
"543" 5.8 2.3 6 2.2
"544" 5.2 3.2 6 2.3
"545" 7.4 2.7 6.5 2.2
"546" 6.3 3.5 5.8 2.2
"547" 5.8 3.3 6.7 2.1
"548" 7 2.8 5.2 2.1
"549" 7.4 3.6 4.9 2.3
"550" 7.8 2.9 6.2 2.4
"551" 6.1 3.3 4.6 1.4
"552" 6 3.2 6.3 1.6
"553" 6.8 2.7 6.7 1.8
"554" 7.4 3.7 5.4 2.1
"555" 7.6 2.4 5.3 1.9
"556" 6.6 3.3 6.2 1.8
"557" 6.7 2.9 5 1.8
"558" 6.9 3 4.7 1.8
"559" 6.7 3.3 5.6 2.2
"560" 7.5 2.5 4.6 2.2
"561" 5.6 2.4 5.4 2.2
"562" 7.8 3.3 6.4 2.1
"563" 6.5 2.3 5.5 1.7
"564" 6.5 3.7 6.3 2.4
"565" 5.4 2.8 6.9 1.9
"566" 5.9 2.9 5.5 1.5
"567" 7.4 3.2 6 2.2
"568" 7.2 3.8 5.4 2.2
"569" 4.9 2.7 5.9 1.8
"570" 7.9 2.9 5.9 1.6
"571" 7.5 3.3 5.2 2.4
"572" 6.4 2.7 4.7 1.7
"573" 7.2 2.5 4.6 2.5
"574" 5 2.4 6.2 2
"575" 7 2.6 6.3 2
"576" 5.6 2.4 6.2 1.4
"577" 5.3 2.6 4.9 2.1
"578" 6.6 3.4 6 1.9
"579" 5.3 2.9 5 1.7
"580" 7.1 2.5 5.7 1.7
"581" 7.8 3.3 4.6 2.4
"582" 5.9 2.5 4.9 1.7
"583" 7.1 3.4 6.9 1.8
"584" 6.4 2.9 6.6 2
"585" 7 3.3 6 1.5
"586" 5.1 3.1 4.6 2
"587" 5.7 3.8 5 2.3
"588" 5.7 3.7 5 2.2
"589" 6.6 2.4 6.2 1.7
"590" 7.4 3.7 4.8 1.7
"591" 6.5 3.3 6.4 1.5
"592" 5.1 2.8 5.7 2.1
"593" 7.3 2.4 6.6 1.7
"594" 5.6 3.4 4.7 1.4
"595" 6.2 3.6 6.8 2.1
"596" 6 2.4 5.5 1.5
"597" 7 2.9 6.7 1.6
"598" 5.8 2.3 6.3 2.1
"599" 6.6 2.8 5.6 1.8
"600" 7.6 3 5.8 2.1
"601" 5.4 3.7 5.7 1.4
"602" 7.8 3 4.6 2.5
"603" 6.3 3.3 6.4 2.4
"604" 5.3 3.5 4.9 1.6
"605" 6.6 3.6 6.7 2.1
"606" 6 3.2 5.6 1.7
"607" 6.4 2.3 6.7 2.3
"608" 5.8 3.7 5 2
"609" 7.7 2.8 6.7 2.5
"610" 5.6 3.5 6.8 1.7
"611" 7.5 2.4 6.3 1.4
"612" 6.8 3.3 5.3 2.4
"613" 6.9 2.8 5.5 2
"614" 6.4 2.4 4.6 1.7
"615" 6.8 3.3 4.9 1.8
"616" 5.2 2.3 5 2
"617" 5.7 3.3 6.7 1.7
"618" 5.7 3.6 5.3 2.1
"619" 5.3 2.3 5.7 1.6
"620" 6 3.5 6.2 1.6
"621" 6.7 3.7 6 1.7
"622" 6.5 2.3 5.4 2.2
"623" 5.1 3.4 5.9 2.3
"624" 5.7 2.4 5.9 1.7
"625" 6.2 3.5 5.1 1.4
"626" 5.2 2.5 5.7 2.4
"627" 6.3 3.2 5.6 1.7
"628" 7.3 3.2 4.6 2.4
"629" 5.4 3.6 4.9 2.1
"630" 5.3 2.5 5.1 1.4
"631" 6.5 3.5 5.3 2.3
"632" 5.3 3.2 5.4 2.1
"633" 6.3 3.7 5.4 2.1
"634" 5.9 3.4 4.7 2.3
"635" 5.6 3.5 6.6 2.1
"636" 7.3 2.4 4.6 2.1
"637" 6.3 2.5 6.1 2
"638" 6.2 2.2 5.7 2.4
"639" 6.2 3.4 5.9 1.8
"640" 6.5 3.4 6.3 2.1
"641" 6.5 2.4 5.4 2.1
"642" 6.7 2.5 6.3 1.7
"643" 6.8 2.5 5.5 1.7
"644" 5.7 2.3 4.9 2.1
"645" 7.6 2.7 5.8 2.1
"646" 5.4 2.4 6 2
"647" 6.2 2.7 4.8 1.8
"648" 7.5 2.3 4.8 1.7
"649" 6.7 3.6 4.8 2.1
"650" 5.1 3.7 6.1 2.4
"651" 6.9 3.7 4.8 1.8
"652" 7.7 3 5.2 1.6
"653" 5 3.2 4.7 1.7
"654" 5.6 2.6 6.8 1.9
"655" 6.4 3.3 5.6 2.3
"656" 6.5 3.2 5.1 1.8
"657" 5.3 2.4 5.6 1.7
"658" 5.3 2.6 6.3 1.7
"659" 6 2.7 6.5 2.5
"660" 5.9 2.3 5.8 2.1
"661" 5.3 3.2 5.1 1.7
"662" 7.2 2.5 5.7 1.6
"663" 7.1 2.5 5.4 1.7
"664" 6.5 2.3 4.7 1.5
"665" 6.4 3.6 5.6 1.4
"666" 7.8 2.4 5.1 2.1
"667" 6.4 3.6 6.5 2.3
"668" 6.1 2.5 6.3 1.6
"669" 5.2 3.5 6.1 1.4
"670" 6.4 3.1 6.7 2.4
"671" 5.4 2.7 5.9 1.4
"672" 7 3 5.9 1.8
"673" 7.1 3.3 5.3 1.4
"674" 7.5 3 4.8 1.8
"675" 5.6 2.5 6.7 2.4
"676" 7.3 3.5 6.8 2
"677" 7 2.8 6.7 2
"678" 5.9 2.8 5 2
"679" 6.5 2.2 6.7 2.4
"680" 6.8 2.9 5.1 1.4
"681" 6.1 2.8 5.5 1.6
"682" 7.9 2.9 6.2 2.4
"683" 7.1 3.1 5 1.9
"684" 5 3.1 5.7 2.5
"685" 5.8 2.8 4.7 1.7
"686" 5.4 3.4 6.4 2.4
"687" 7.6 2.2 4.9 1.9
"688" 7.4 3.2 6.8 2.4
"689" 7.7 2.5 4.9 1.9
"690" 7.7 3.7 6 2.1
"691" 5.6 2.5 6.5 2.2
"692" 5.6 2.3 4.6 1.8
"693" 6.9 3.2 4.7 2.2
"694" 7.5 2.8 5.6 2.1
"695" 6.9 3.1 6.7 2.4
"696" 5.4 3.7 6.8 1.5
"697" 6.9 2.6 5.2 2.5
"698" 7.7 2.6 6.7 1.8
"699" 5.6 2.5 6.2 2
"700" 6.4 3.1 5.6 2.2
"701" 6.2 3 5.6 1.7
"702" 5.2 2.5 6.8 1.7
"703" 5.2 2.5 6 1.7
"704" 6.5 2.9 5.9 1.9
"705" 7.8 3.2 6.1 2.3
"706" 6 3.1 5.3 2.1
"707" 5.4 3.3 4.7 2.1
"708" 6.8 2.9 6.3 2.2
"709" 7.7 3.1 4.8 2.2
"710" 5.8 3.2 6.8 1.5
"711" 5.1 2.2 5.8 2.5
"712" 7 2.9 6.4 2
"713" 7.4 3.2 4.9 1.4
"714" 5.7 2.5 6.5 1.6
"715" 7.1 2.7 6.6 1.5
"716" 7.5 3.1 6.4 2.1
"717" 6.9 3.5 4.9 1.8
"718" 5.5 3.8 5.1 1.6
"719" 7.5 3.7 5.6 2.2
"720" 7 3.2 6.4 1.6
"721" 5 2.4 4.7 2.1
"722" 6.6 2.6 6.5 1.9
"723" 6.6 3.5 5.6 1.4
