"V1" "V2" "V3" "V4" "V5"
"273" 2 12 4 1 47
"274" 2 10 7 1 52
"275" 2 2 18 1 17
"276" 2 9 17 1 34
"277" 2 1 16 1 42
"278" 1 15 3 1 24
"279" 1 5 23 2 28
"280" 1 17 10 1 27
"281" 2 20 6 1 58
"282" 2 19 16 1 37
"283" 2 2 16 1 29
"284" 1 21 6 2 21
"285" 2 3 6 2 16
"286" 2 17 5 1 8
"287" 2 7 22 1 48
"288" 2 20 11 1 49
"289" 2 16 12 2 45
"290" 2 19 11 2 11
"291" 1 22 12 1 56
"292" 2 18 4 1 18
"293" 2 18 13 2 54
"294" 1 17 2 2 58
"295" 1 1 15 1 44
"296" 2 3 3 2 10
"297" 1 12 13 2 15
"298" 2 22 10 2 42
"299" 2 11 15 2 48
"300" 1 2 21 1 20
"301" 1 19 16 2 26
"302" 2 20 6 2 39
"303" 2 12 21 1 53
"304" 2 3 24 1 54
"305" 1 22 7 1 19
"306" 2 3 24 2 33
"307" 2 1 2 1 40
"308" 2 23 18 2 45
"309" 1 17 16 2 14
"310" 2 9 13 1 29
"311" 2 18 7 1 21
"312" 2 2 16 1 23
"313" 2 9 14 1 26
"314" 1 5 1 2 19
"315" 1 5 16 1 58
"316" 1 8 11 2 11
"317" 2 9 4 2 57
"318" 1 17 9 2 44
"319" 2 20 22 1 27
"320" 1 18 21 1 31
"321" 1 6 20 2 24
"322" 2 3 2 1 19
"323" 2 11 17 2 53
"324" 2 13 10 1 12
"325" 1 1 2 1 54
"326" 1 5 14 2 22
"327" 1 8 24 2 52
"328" 2 5 2 2 19
"329" 2 7 15 2 10
"330" 2 11 9 1 46
"331" 1 22 23 2 7
"332" 1 16 9 1 42
"333" 2 8 6 1 29
"334" 1 22 4 1 57
"335" 1 15 15 1 47
"336" 1 20 25 1 46
"337" 2 3 15 2 28
"338" 2 5 12 2 44
"339" 1 15 11 1 42
"340" 2 3 6 1 26
"341" 1 4 13 2 32
"342" 2 8 17 2 40
"343" 2 9 23 1 28
"344" 1 15 23 2 38
"345" 1 21 2 2 51
"346" 2 9 6 2 15
"347" 1 14 8 2 35
"348" 1 14 2 2 57
"349" 2 22 10 1 45
"350" 2 3 13 2 52
"351" 2 10 18 1 39
"352" 2 12 16 1 21
"353" 2 14 2 2 36
"354" 2 9 19 2 11
"355" 1 14 24 2 19
"356" 1 4 8 2 24
"357" 2 13 7 1 38
"358" 1 13 6 2 38
"359" 1 13 20 2 14
"360" 2 10 3 2 30
"361" 2 19 10 2 43
"362" 1 10 18 1 8
"363" 2 12 19 1 39
"364" 1 9 16 1 51
"365" 2 10 24 2 51
"366" 1 12 21 1 55
"367" 2 12 8 2 44
"368" 2 23 13 1 57
"369" 1 19 22 2 9
"370" 1 3 15 2 56
"371" 1 23 11 2 51
"372" 2 15 2 2 37
"373" 2 5 7 1 32
"374" 1 9 15 1 18
"375" 1 18 8 2 34
"376" 1 19 20 2 9
"377" 2 11 10 2 28
"378" 2 3 19 2 56
"379" 2 1 16 1 28
"380" 2 14 11 1 27
"381" 2 15 17 2 48
"382" 2 23 25 2 8
"383" 1 3 14 1 34
"384" 1 17 17 1 47
"385" 1 19 6 1 22
"386" 2 10 9 1 30
"387" 2 14 4 1 10
"388" 1 5 20 1 22
"389" 1 4 19 1 13
"390" 2 21 16 1 20
"391" 1 7 22 2 42
"392" 1 3 21 2 30
"393" 2 18 10 2 10
"394" 1 17 14 2 9
"395" 2 2 23 1 34
"396" 1 11 16 2 20
"397" 2 12 2 2 19
"398" 2 8 14 1 33
"399" 2 18 24 1 14
"400" 2 22 6 1 18
"401" 2 21 16 1 57
"402" 1 13 9 1 42
"403" 2 17 18 2 30
"404" 2 5 9 1 22
"405" 2 2 19 2 12
"406" 1 9 5 1 32
"407" 1 14 21 2 54
"408" 2 9 14 2 28
"409" 2 8 17 1 31
"410" 2 2 3 1 26
"411" 2 4 10 1 20
"412" 1 4 20 2 50
"413" 1 17 13 1 50
"414" 2 17 7 2 7
"415" 2 19 6 2 43
"416" 2 7 22 2 15
"417" 1 20 17 1 51
"418" 1 4 8 1 41
"419" 2 19 22 1 10
"420" 1 2 12 2 51
"421" 1 9 12 1 34
"422" 2 8 22 1 33
"423" 1 19 3 1 47
"424" 2 8 3 2 22
"425" 1 14 16 1 31
"426" 2 23 13 1 44
"427" 2 16 7 1 52
"428" 1 13 21 1 47
"429" 1 2 20 1 49
"430" 2 4 4 2 23
"431" 1 7 17 2 10
"432" 2 11 15 2 54
"433" 1 19 4 1 35
"434" 2 15 9 1 55
"435" 2 16 11 1 39
"436" 1 22 20 2 53
"437" 1 22 10 2 23
"438" 2 2 7 2 9
"439" 1 21 8 1 47
"440" 2 22 25 1 29
"441" 2 12 7 1 30
"442" 1 15 6 1 22
"443" 1 22 9 2 11
"444" 1 10 20 2 20
"445" 1 18 2 2 14
"446" 2 13 7 1 51
"447" 1 16 7 1 40
"448" 2 6 21 2 19
"449" 1 9 13 1 8
"450" 2 20 3 1 24
"451" 2 20 24 2 53
"452" 1 7 13 2 49
"453" 2 11 16 2 34
"454" 2 12 8 1 37
"455" 2 2 20 2 53
"456" 1 6 23 2 20
"457" 2 7 12 1 55
"458" 2 12 16 2 19
"459" 1 17 6 1 41
"460" 2 15 7 2 55
"461" 2 3 21 2 57
"462" 1 22 11 2 27
"463" 2 23 15 2 18
"464" 1 14 14 2 34
"465" 1 8 11 1 15
"466" 2 6 11 1 28
"467" 1 6 23 2 28
"468" 1 12 10 2 42
"469" 1 7 9 1 41
"470" 1 11 15 2 53
"471" 1 22 8 1 12
"472" 2 12 4 2 25
"473" 2 15 19 1 35
"474" 2 18 3 2 32
"475" 1 20 21 2 15
"476" 1 16 24 1 28
"477" 1 16 4 2 36
"478" 1 17 20 1 24
"479" 1 22 14 2 42
"480" 2 13 22 1 44
"481" 2 12 2 2 52
"482" 2 16 23 1 55
"483" 1 11 15 1 58
"484" 1 22 4 1 58
"485" 2 16 10 1 31
"486" 2 7 11 2 53
"487" 2 8 4 2 17
"488" 2 5 4 2 23
"489" 2 10 16 1 27
"490" 1 2 18 2 51
"491" 1 20 17 2 51
"492" 1 5 22 1 12
"493" 2 3 12 2 49
"494" 1 4 3 2 13
"495" 2 5 19 2 29
"496" 1 8 2 2 17
"497" 2 14 6 2 38
"498" 2 3 8 2 10
"499" 1 7 24 1 55
"500" 1 14 15 1 27
"501" 1 4 23 2 31
"502" 2 13 2 1 34
"503" 2 5 6 1 18
"504" 2 13 5 1 22
"505" 1 18 23 1 19
"506" 2 11 17 1 33
"507" 1 6 17 2 35
"508" 2 15 17 1 57
"509" 1 5 4 2 12
"510" 1 3 3 2 15
"511" 1 6 24 2 49
"512" 2 3 20 2 54
"513" 2 9 11 1 8
"514" 2 7 3 2 45
"515" 1 6 9 2 21
"516" 1 8 22 1 37
"517" 1 15 4 1 56
"518" 2 4 8 1 33
"519" 2 1 4 1 34
"520" 1 8 2 1 45
"521" 1 12 20 1 41
"522" 2 13 20 1 15
"523" 1 7 22 2 12
"524" 2 9 22 1 17
"525" 2 7 12 2 9
"526" 1 20 24 1 29
"527" 2 12 2 2 24
"528" 2 21 22 2 35
"529" 1 9 6 1 34
"530" 1 15 16 1 19
"531" 2 9 4 2 7
"532" 1 9 12 2 58
"533" 1 14 12 1 53
"534" 2 22 22 2 58
"535" 1 18 18 1 42
"536" 2 11 13 2 36
"537" 2 21 4 1 51
"538" 2 23 1 1 19
"539" 1 10 15 1 31
"540" 2 5 17 2 27
"541" 1 4 22 1 55
"542" 2 20 22 2 23
"543" 1 1 4 1 22
"544" 2 5 13 1 36
"545" 1 8 19 1 48
"546" 2 11 10 2 44
"547" 2 19 5 2 49
"548" 2 1 4 2 28
"549" 2 17 17 2 33
"550" 2 21 15 2 34
"551" 1 5 14 2 48
"552" 1 5 24 2 32
"553" 1 20 22 2 46
"554" 1 9 24 1 16
"555" 1 9 14 1 49
"556" 1 1 16 1 57
"557" 2 12 22 1 17
"558" 1 13 9 2 51
"559" 1 12 19 2 19
"560" 1 16 19 2 9
"561" 2 5 14 1 9
"562" 2 14 24 1 43
"563" 2 7 1 2 53
"564" 2 10 21 1 52
"565" 1 21 21 1 29
"566" 1 5 23 2 22
"567" 2 23 10 1 13
"568" 1 4 16 2 46
"569" 1 17 20 2 25
"570" 1 22 7 1 47
"571" 2 19 25 2 10
"572" 1 22 8 1 51
"573" 1 6 8 2 56
"574" 2 19 8 1 28
"575" 1 11 23 1 29
"576" 1 5 19 2 50
"577" 1 17 23 1 10
"578" 1 9 5 1 21
"579" 2 11 19 2 56
"580" 2 14 22 1 28
"581" 1 12 25 2 55
"582" 1 6 5 2 52
"583" 1 18 11 2 57
"584" 1 23 19 1 38
"585" 2 17 13 2 15
"586" 1 22 17 2 18
"587" 2 3 13 2 20
"588" 2 17 5 2 36
"589" 1 17 8 1 40
"590" 1 9 5 1 14
"591" 2 2 16 1 48
"592" 2 19 24 2 17
"593" 1 12 6 2 22
"594" 2 9 22 2 32
"595" 1 16 7 1 27
"596" 2 19 10 2 41
"597" 1 20 5 2 32
"598" 2 14 15 1 33
"599" 1 5 7 2 53
"600" 2 16 11 2 57
"601" 2 3 16 1 14
"602" 1 6 18 1 28
"603" 2 15 14 1 16
"604" 2 11 22 2 13
"605" 1 8 22 2 11
"606" 1 7 7 2 51
"607" 2 3 10 2 15
"608" 1 5 9 2 36
"609" 2 1 20 1 22
"610" 1 19 13 2 57
"611" 2 22 24 2 31
"612" 1 16 21 1 43
"613" 1 1 14 1 58
"614" 1 6 12 1 24
"615" 2 6 17 2 44
"616" 2 17 18 2 54
"617" 2 10 5 2 35
"618" 1 17 16 2 35
"619" 2 2 18 1 33
"620" 1 8 20 2 51
"621" 1 15 3 2 28
"622" 1 9 8 2 22
"623" 2 21 17 2 17
"624" 2 10 14 1 8
"625" 1 6 3 2 38
"626" 2 16 14 1 38
"627" 1 5 14 2 50
"628" 2 13 21 2 37
"629" 2 3 23 2 48
"630" 2 3 23 2 43
"631" 2 14 7 1 21
"632" 2 10 3 1 23
"633" 1 9 23 1 14
"634" 1 12 8 2 54
"635" 1 14 9 2 49
"636" 1 15 9 2 35
"637" 2 10 19 1 54
"638" 2 4 17 1 51
"639" 1 4 7 2 25
"640" 2 3 14 1 45
"641" 2 7 22 2 56
"642" 2 14 2 1 18
"643" 1 16 16 1 16
"644" 1 4 17 1 31
"645" 1 23 24 1 10
"646" 1 7 7 1 19
"647" 2 16 12 2 10
"648" 2 4 3 1 28
"649" 2 7 21 1 20
"650" 1 5 25 2 38
"651" 1 6 24 2 10
"652" 2 9 10 2 8
"653" 1 11 5 1 30
"654" 1 10 10 1 24
"655" 2 18 12 2 11
"656" 2 12 11 2 54
"657" 2 19 13 1 29
"658" 2 22 20 2 55
"659" 2 20 12 1 31
"660" 1 3 2 1 12
"661" 2 13 14 1 58
"662" 1 11 7 2 52
"663" 2 15 8 2 14
"664" 1 2 14 1 27
"665" 2 12 8 2 57
"666" 1 3 16 1 39
"667" 2 18 9 2 18
"668" 2 16 10 1 44
"669" 2 8 7 1 41
"670" 1 21 25 2 39
"671" 2 11 5 2 17
"672" 2 14 17 2 54
"673" 2 2 15 1 37
"674" 1 2 22 2 9
"675" 1 3 23 1 14
"676" 1 17 6 1 35
"677" 1 5 7 1 42
"678" 1 6 21 1 18
"679" 1 21 17 2 47
"680" 1 4 16 1 19
"681" 2 22 7 1 49
"682" 2 3 22 2 9
"683" 1 12 24 1 44
"684" 2 6 2 1 17
"685" 2 8 11 1 16
"686" 2 18 24 2 57
"687" 2 1 23 2 31
"688" 1 3 12 1 22
"689" 2 16 6 2 22
"690" 1 2 17 1 32
"691" 1 19 23 2 17
"692" 2 6 6 1 38
"693" 2 20 4 1 57
"694" 1 17 23 2 30
"695" 1 16 2 2 27
"696" 1 13 24 1 48
"697" 1 3 20 2 9
"698" 1 7 23 2 58
"699" 1 11 8 2 30
"700" 1 6 23 1 54
"701" 1 10 19 2 22
"702" 1 16 24 2 16
"703" 2 12 15 2 14
"704" 1 4 13 2 40
"705" 2 4 12 1 23
"706" 1 11 12 1 28
"707" 2 17 17 2 14
"708" 1 2 5 1 38
"709" 1 7 22 2 21
"710" 1 10 20 1 19
"711" 1 10 18 2 35
"712" 1 22 2 2 12
"713" 1 5 6 2 26
"714" 2 8 3 2 25
"715" 2 18 15 1 7
"716" 1 2 17 2 42
"717" 1 5 7 1 8
"718" 1 20 16 2 42
"719" 1 21 18 1 25
"720" 1 6 18 1 53
"721" 1 13 9 2 21
"722" 1 14 16 1 32
"723" 1 14 9 1 21
"724" 2 16 21 1 55
"725" 2 5 4 1 28
"726" 2 22 5 2 30
"727" 1 22 10 1 40
"728" 1 2 2 2 31
"729" 1 5 17 1 56
"730" 1 4 24 1 40
"731" 2 22 14 2 54
"732" 2 9 14 1 27
"733" 2 6 24 2 32
"734" 2 4 3 1 57
"735" 1 3 22 2 40
"736" 2 8 7 1 44
"737" 2 18 18 1 41
"738" 2 6 6 2 24
"739" 1 4 4 2 19
"740" 1 22 11 1 47
"741" 1 15 13 1 30
"742" 2 18 21 2 41
"743" 2 11 12 2 52
"744" 1 17 19 2 36
"745" 1 8 10 1 31
"746" 2 19 21 1 38
"747" 1 22 12 1 7
"748" 2 19 13 1 27
"749" 2 9 9 1 17
"750" 1 9 17 1 29
"751" 1 8 2 1 34
"752" 1 17 3 1 55
"753" 1 11 2 1 45
"754" 2 15 24 1 54
"755" 2 8 17 1 28
"756" 2 13 15 1 21
"757" 2 14 15 1 44
"758" 2 20 4 1 11
"759" 1 9 16 2 30
"760" 2 16 11 1 8
"761" 1 9 22 2 29
"762" 1 18 7 1 57
"763" 1 7 5 1 39
"764" 2 20 14 2 13
"765" 2 6 14 2 54
"766" 1 4 24 2 43
"767" 1 15 12 2 9
"768" 2 11 18 1 34
"769" 1 6 6 1 30
"770" 2 4 21 1 38
"771" 1 20 10 1 31
"772" 2 17 25 2 56
"773" 2 15 23 2 54
"774" 2 9 4 1 15
"775" 2 18 21 1 49
"776" 2 8 6 2 53
"777" 1 10 16 1 21
"778" 2 7 13 1 20
"779" 1 13 3 1 36
"780" 2 5 12 1 40
"781" 1 7 14 1 15
"782" 1 2 18 2 42
"783" 2 21 14 2 21
"784" 1 20 19 1 37
"785" 2 7 20 1 20
"786" 2 21 14 1 19
"787" 1 3 4 2 8
"788" 2 13 16 2 13
"789" 1 3 13 2 37
"790" 2 18 21 2 36
"791" 2 9 16 2 26
"792" 1 14 2 2 22
"793" 2 10 6 1 45
"794" 2 12 5 2 39
"795" 2 6 21 2 36
"796" 1 5 25 1 27
"797" 1 17 21 2 40
"798" 2 22 15 1 53
"799" 1 16 17 1 30
"800" 2 15 6 2 14
"801" 1 6 17 1 35
"802" 1 13 1 2 34
"803" 2 12 8 1 7
"804" 1 21 20 2 9
"805" 2 17 11 2 44
"806" 1 19 7 2 21
"807" 2 2 7 2 26
"808" 1 18 23 1 46
"809" 1 10 19 2 12
"810" 2 20 22 2 8
"811" 2 5 18 2 17
"812" 1 18 16 2 52
"813" 1 13 2 2 19
"814" 2 15 9 1 31
"815" 2 6 2 2 16
"816" 2 7 4 1 38
"817" 1 9 4 1 15
"818" 2 14 24 2 13
"819" 1 10 18 2 35
"820" 1 18 15 2 53
"821" 1 9 24 2 54
"822" 1 19 6 1 19
"823" 2 21 18 1 10
"824" 1 21 20 2 50
"825" 1 7 17 2 17
"826" 1 12 21 1 44
"827" 2 8 24 2 24
"828" 2 22 14 2 54
"829" 1 20 7 1 26
"830" 2 11 22 2 20
"831" 2 10 9 2 49
"832" 2 14 14 2 17
"833" 1 20 9 2 50
"834" 1 13 9 2 41
"835" 2 16 17 1 52
"836" 1 17 11 2 45
"837" 1 11 7 2 44
"838" 2 9 11 1 29
"839" 1 23 19 1 26
"840" 1 22 8 1 48
"841" 2 6 13 2 46
"842" 1 5 2 1 46
"843" 1 7 10 2 44
"844" 2 3 2 2 34
"845" 2 14 22 2 27
"846" 2 10 23 1 32
"847" 2 13 5 1 56
"848" 2 7 1 1 43
"849" 1 16 24 1 24
"850" 1 7 19 2 54
"851" 2 21 9 1 27
"852" 2 12 21 1 43
"853" 1 21 20 1 51
"854" 2 2 17 1 15
"855" 1 7 16 2 16
"856" 1 12 24 1 18
"857" 2 22 8 1 53
"858" 1 22 24 1 25
"859" 2 7 11 2 19
"860" 2 15 16 1 24
"861" 2 3 5 2 41
"862" 1 18 16 2 8
"863" 1 23 11 2 44
"864" 1 13 11 2 31
"865" 1 5 11 1 13
"866" 2 3 20 1 11
"867" 2 11 24 2 20
"868" 2 8 5 2 23
"869" 2 18 22 2 20
"870" 2 21 6 2 44
"871" 1 13 21 2 10
"872" 1 16 5 2 47
"873" 2 17 22 1 53
"874" 2 15 22 2 20
"875" 1 22 21 2 10
"876" 2 9 3 1 21
"877" 2 6 16 2 23
"878" 1 13 5 1 53
"879" 2 10 2 2 21
"880" 1 17 6 2 35
"881" 2 3 7 1 34
"882" 1 11 19 1 55
"883" 2 7 23 2 13
"884" 2 3 23 1 48
"885" 1 19 22 2 34
"886" 2 14 23 1 49
"887" 2 19 15 2 52
"888" 2 7 10 2 52
"889" 1 15 23 1 16
"890" 1 10 18 2 37
"891" 2 5 2 1 55
"892" 2 10 22 2 34
"893" 1 16 18 1 24
"894" 1 22 19 1 55
"895" 2 11 7 1 16
"896" 2 8 18 2 39
"897" 1 6 24 2 32
"898" 2 3 16 1 32
"899" 1 21 3 2 53
"900" 2 6 15 2 22
"901" 2 5 6 2 49
"902" 2 13 24 1 7
"903" 1 19 10 1 12
"904" 1 1 21 1 48
"905" 2 15 9 1 34
"906" 2 20 4 1 54
"907" 1 11 21 1 8
"908" 2 6 6 1 40
"909" 1 23 15 2 41
"910" 2 9 8 1 15
"911" 2 13 13 1 52
"912" 1 19 6 1 29
"913" 2 20 25 1 13
"914" 2 18 17 2 31
"915" 2 11 2 2 30
"916" 2 10 20 1 15
"917" 2 6 4 2 24
"918" 1 4 10 2 44
"919" 1 11 21 1 30
"920" 1 2 5 2 25
"921" 1 2 11 1 37
"922" 2 16 20 1 24
"923" 1 17 5 2 38
"924" 2 6 12 2 26
"925" 1 11 11 2 43
"926" 2 19 19 2 53
"927" 1 22 16 1 31
"928" 2 15 14 1 37
"929" 1 8 11 1 8
"930" 1 10 1 1 45
"931" 1 9 12 1 31
"932" 1 17 2 2 50
"933" 2 11 5 2 12
"934" 1 1 15 1 26
"935" 2 19 7 2 45
"936" 1 13 6 2 38
"937" 2 19 1 1 37
"938" 2 18 18 2 45
"939" 2 5 11 1 29
"940" 2 21 7 1 43
"941" 1 13 5 1 49
"942" 2 10 6 1 25
"943" 2 19 17 1 46
"944" 1 17 14 1 37
"945" 2 20 22 1 48
"946" 1 6 24 2 10
"947" 2 2 8 2 46
"948" 1 4 24 1 26
"949" 1 14 8 1 34
"950" 2 1 20 2 26
"951" 2 5 8 1 43
"952" 1 4 5 1 22
"953" 2 11 17 1 21
"954" 2 13 1 2 54
"955" 2 22 5 1 51
"956" 1 13 3 2 14
"957" 2 18 11 1 35
"958" 2 12 20 1 57
"959" 1 8 9 2 25
"960" 2 13 5 2 51
"961" 1 19 17 2 13
"962" 2 1 11 1 36
"963" 2 18 4 1 21
"964" 2 6 13 2 31
"965" 2 1 14 1 45
"966" 1 11 16 1 47
"967" 1 22 15 2 19
"968" 2 21 16 2 14
"969" 1 12 16 2 41
"970" 1 5 17 2 18
"971" 1 13 16 1 39
"972" 2 8 7 1 21
"973" 1 21 7 2 53
"974" 1 6 9 2 39
"975" 1 15 14 2 30
"976" 2 17 10 2 29
"977" 1 4 6 1 17
"978" 2 12 9 1 23
"979" 2 5 10 1 34
"980" 2 9 4 2 28
"981" 1 21 9 1 17
"982" 2 7 3 1 20
"983" 1 15 11 1 38
"984" 1 12 18 2 49
"985" 2 12 3 2 53
"986" 1 18 22 2 10
"987" 2 20 11 1 57
"988" 2 11 20 2 29
"989" 2 22 22 1 28
"990" 2 2 5 2 17
"991" 2 2 21 2 10
"992" 1 21 17 1 10
"993" 1 18 17 1 20
"994" 1 5 11 1 15
"995" 1 3 8 2 34
"996" 2 21 8 2 23
"997" 2 21 18 1 43
